Index,Id,Status,Sex,Age,Deme,fgene0,fgene1,fgene2,fgene3,fgene4,fgene5,fgene6,fgene7,fgene8,fgene9,mgene0,mgene1,mgene2,mgene3,mgene4,mgene5,mgene6,mgene7,mgene8,mgene9,phen0,phen1
0,0,1,1,0,0,0.0953307,0.0261848,0.0402572,-0.0797468,-0.120652,-0.0467068,-0.114611,-0.0609909,-0.153998,0.0995296,-0.00296223,-0.00463221,-0.215118,-0.0523345,0.0748463,0.0929321,0.126301,0.159204,0.245816,0.0280292,2.11941,0.82882
1,1,1,0,0,0,-0.103281,-0.054484,0.103397,-0.0816497,0.00177093,-0.105259,0.0474718,0.262949,-0.0771336,-0.0858547,0.133682,0.0843082,-0.0331787,0.202996,-0.0785609,-0.0591736,-0.0770638,-0.10155,0.0972816,-0.0744365,2.0875,0.917242
2,2,1,1,0,0,0.00897482,-0.255727,-0.0819115,-0.12404,0.048736,0.0260521,-0.0505792,0.0867016,0.182938,-0.263564,0.0168239,0.0494794,-0.0116731,-0.0776711,0.023885,0.00772373,0.114074,-0.00966712,0.129983,0.020183,2.20156,0.885217
3,3,1,0,0,0,-0.0913608,-0.0333129,-0.0316044,0.0998907,-0.00652734,-0.249288,-0.156045,-0.0276047,0.334891,0.0228113,-0.123609,0.0677062,-0.271184,-0.156679,0.0078011,0.122277,-0.108139,0.161293,0.107066,0.0161136,2.26944,0.894324
4,4,1,1,0,0,-0.0353102,-0.031953,0.0733244,-0.0642208,-0.0860348,0.071379,-0.222174,-0.0698016,0.236212,-0.019494,-0.0943125,0.0500566,-0.0475408,0.163542,-0.242156,0.0422234,0.00893617,0.0398366,-0.0786353,-0.179428,2.1573,0.918078
5,5,1,0,0,0,0.103473,-0.0773341,-0.0104629,-0.00233726,-0.0620737,0.0371068,0.0227874,0.0195835,-0.103633,0.054028,-0.015017,-0.00797441,0.101631,0.182384,-0.0390265,0.0978337,-0.0587869,0.246075,-0.0103069,-0.051687,2.08663,0.881174
6,6,1,0,0,0,0.0762805,0.108248,0.0939917,-0.184417,0.0337487,-0.130996,-0.0941239,-0.132311,0.145526,0.0271655,0.0361074,-0.0121375,-0.0126894,-0.00414274,0.163862,0.125311,-0.0560354,-0.0414115,-0.00740745,0.134543,2.14943,0.975
7,7,1,1,0,0,-0.0446665,-0.0381493,0.10806,-0.0734695,0.0447168,-0.104068,-0.00742905,-0.0111252,0.0195529,0.310642,-0.0911478,0.171945,-0.0283928,0.0516949,-0.0784084,0.183426,0.00265701,-0.0986969,0.0193367,-0.074411,2.01109,0.886972
8,8,1,1,0,0,-0.0413616,-0.0243996,0.0501872,0.142384,-0.0163708,-0.192197,-0.12534,-0.11008,-0.149083,0.0439447,0.0740099,0.0372286,0.0763344,-0.111125,0.148269,-0.0660298,0.139909,-0.113942,-0.0416546,0.0224078,2.16758,0.743763
9,9,1,0,0,0,0.0595627,0.255678,-0.0185685,0.285943,-0.171372,0.082489,-0.0895557,-0.227578,0.15306,0.0905677,-0.145387,-0.102383,-0.085863,0.0428304,-0.130825,0.0162017,0.0778857,-0.0310142,0.0257642,0.0760622,2.00519,0.916731
10,10,1,1,0,0,-0.000276707,-0.0272564,-0.0496894,-0.00730007,0.118739,0.0218996,-0.193344,0.0186861,-0.0610389,0.12722,0.0213326,0.00702754,-0.202951,-0.0514684,0.0555643,-0.159902,-0.0550631,-0.0278441,-0.15156,0.00736405,2.06814,0.789156
11,11,1,1,0,0,0.0140406,-0.0502527,0.17962,0.0328475,0.100434,0.00919215,0.00267816,0.0235543,-0.108242,0.0242086,0.000176717,0.106549,-0.0308231,-0.0978647,0.106654,0.0839389,-0.108723,0.0147416,0.210653,0.0432834,2.18069,0.906973
12,12,1,0,0,0,0.0927698,0.23728,0.0802395,-0.0449823,0.0553695,-0.0834208,-0.219136,-0.0165748,0.0710898,0.0934028,-0.0624794,-0.0405159,-0.032398,-0.00205711,0.110989,0.163422,-0.161797,-0.011271,-0.0317359,-0.101605,2.19711,0.861731
13,13,1,1,0,0,0.0372228,0.0448849,-0.0643125,0.0532293,0.0343481,0.0596425,0.0984818,-0.019944,-0.0266807,0.124252,0.208951,-0.202017,0.186881,-0.0923157,0.226386,0.00621443,0.014334,0.0186721,-0.0243294,0.0853746,2.21663,0.845346
14,14,1,1,0,0,0.0923313,-0.00418273,0.150252,0.00713183,-0.14675,-0.0899334,-0.0917315,-0.109825,-0.0622144,-0.0472116,-0.00817638,-0.0919496,-0.0444659,-0.104914,-0.0440293,0.034681,0.070237,-0.0220947,0.0320909,-0.00512672,2.09738,0.864534
15,15,1,0,0,0,0.0470988,0.0112868,0.122373,0.0340068,-0.0302322,0.0612267,-0.0412093,-0.0886294,0.164499,0.012124,0.1012,-0.0363268,-0.0479512,0.181599,0.119741,0.183375,-0.0857888,0.192102,0.192629,-0.0381474,2.2514,0.758744
16,16,1,1,0,0,0.161804,0.267517,-0.0317036,-0.0234705,-0.0457168,0.115336,-0.156658,0.139965,-0.193525,-0.194951,-0.081097,-0.204573,0.0880737,-0.0809306,0.0835078,0.0477089,0.0891052,-0.0104451,0.0633117,-0.0150788,2.0667,0.944013
17,17,1,0,0,0,-0.0368544,0.07085,-0.136521,0.149818,0.200842,0.0827115,0.028964,-0.1198,0.0230615,0.00343166,0.0386067,-0.0251552,-0.164534,-0.066301,0.0401648,-0.154223,-0.00729543,0.0977101,-0.025701,-0.0143953,2.03546,0.958134
18,18,1,0,0,0,0.119332,-0.0175768,0.131822,0.000613779,0.143311,-0.151294,-0.00217098,0.193956,0.163988,-0.0225889,0.0772043,0.020059,0.0473539,0.029192,0.102596,-0.00745908,-0.0387482,-0.126056,0.054139,-0.0182678,2.32695,0.975
19,19,1,1,0,0,-0.167721,0.054676,-0.124148,-0.0670489,-0.144127,-0.0991062,0.201315,-0.0276243,0.038491,-0.108299,-0.0898913,0.0203883,0.057472,-0.0347219,-0.0639476,-0.103534,0.00559451,-0.103818,-0.0249377,-0.0843686,2.27953,0.858007
20,20,1,0,0,0,-0.0262196,0.00662194,0.120759,0.0181627,-0.0321164,0.0461623,0.172012,0.0365461,0.210253,0.0201217,-0.200354,0.222382,-0.00660092,0.116677,-0.137137,0.038272,-0.0789515,-0.030876,0.00470638,0.00148367,2.04109,0.810694
21,21,1,0,0,0,-0.0592924,0.0729845,0.104216,0.0690223,-0.0874384,-0.0384482,-0.0692689,-0.0970467,-0.0484664,0.0466675,-0.131923,-0.0959092,0.167049,-0.00864755,0.127805,0.0809324,0.00283945,-0.0965317,-0.116363,0.0840633,2.07893,0.881781
22,22,1,0,0,0,-0.12439,-0.0575259,0.0398939,-0.0456403,-0.076943,0.107098,-0.00986289,0.0510203,0.185441,0.0722846,-0.0497169,0.0283528,0.0731262,-0.174445,0.0634843,0.161098,-0.0108304,0.152862,0.0814901,0.130333,2.1619,0.630989
23,23,1,0,0,0,-0.0231483,0.0679881,0.172481,0.038492,-0.0927429,0.0392614,-0.171662,-0.218735,-0.00875605,-0.0203602,-0.0148678,-0.100253,0.0945408,-0.00343389,0.193222,-0.0236551,0.111366,-0.0260383,-0.108325,-0.0105207,2.16614,0.803553
24,24,1,1,0,0,-0.225404,0.039219,0.099218,-0.0330373,-0.0299828,0.0185688,-0.00418261,-0.0668144,-0.0601815,0.198118,0.160846,0.0415038,-0.0687472,0.0617733,-0.115811,0.167531,-0.145995,0.019521,0.116098,0.112283,2.03521,0.837383
25,25,1,1,0,0,0.101795,-0.0129519,-0.00492366,-0.171107,0.00111909,0.00388143,0.00498358,-0.119864,-0.00903574,-0.078566,0.0910032,-0.0973283,-0.249536,0.0384915,-0.0625411,0.125441,0.000794283,0.00752677,-0.0284417,0.0391989,2.18299,0.973321
26,26,1,0,0,0,0.0389555,-0.126587,0.0131761,0.111468,0.112449,-0.0483041,-0.148588,-0.00534918,-0.232054,-0.217843,0.0513139,-0.0946726,0.0555715,0.186234,-0.00520959,-0.124795,0.0492559,0.0294809,0.0971668,-0.131454,2.17135,0.693335
27,27,1,1,0,0,0.12467,0.0564959,-0.0899748,0.0764324,0.00869904,0.000707921,0.0472361,-0.139867,-0.000597757,0.0369968,-0.0163216,-0.0747383,0.0780372,0.259705,-0.0350904,0.0472249,-0.154054,-0.0221442,-0.0256735,-0.0266858,2.19396,0.888316
