Index,Id,Status,Sex,Age,Deme,fgene0,fgene1,fgene2,mgene0,mgene1,mgene2,phen0,phen1,phen2
0,0,1,0,0,0,0.0935869,-0.0475079,-0.00417058,-0.0188363,-0.0527861,-0.00699485,10,0.5,0.233252
1,1,1,1,0,0,0.0278112,-0.029499,-0.12518,0.0776909,-0.088774,0.0619392,10,0.5,0.155139
2,2,1,0,0,0,0.0820233,0.134875,-0.211662,0.0693332,-0.0194284,-0.00196361,10,0.5,-0.0704384
3,3,1,1,0,0,0.0701613,0.117602,0.192671,-0.180447,0.0546663,0.00460105,10,0.5,0.545908
4,4,1,0,0,0,-0.0623518,0.0289936,-0.0787145,0.0816999,-0.0447786,-0.073531,10,0.5,0.0216318
5,5,1,1,0,0,0.0366108,-0.135296,0.0686572,-0.0992825,-0.055841,0.240331,10,0.5,0.713482
6,6,1,0,0,0,-0.0088722,-0.00225835,-0.0626328,0.0280758,0.0487256,-0.155223,10,0.5,-0.0767834
7,7,1,1,0,0,0.000155982,-0.00872093,-0.034441,-0.0107399,-0.103562,-0.114609,10,0.5,0.0264251
8,8,1,0,0,0,0.0269239,0.00529071,0.0181428,-0.229807,-0.0705341,0.16514,10,0.5,0.524925
9,9,1,1,0,0,0.109591,0.0568084,0.0140882,0.185671,0.207166,-0.269139,10,0.5,-0.132576
10,10,1,0,0,0,-0.0811159,0.0671704,0.0794922,-0.103138,-0.127416,0.117364,10,0.5,0.545284
11,11,1,1,0,0,0.0718214,-0.0391732,0.0525144,0.00365706,0.0482511,-0.167751,10,0.5,0.0771445
12,12,1,0,0,0,-0.0679983,0.140383,0.204806,-0.19167,-0.0625026,-0.030454,10,0.5,0.511527
13,13,1,1,0,0,-0.0507314,-0.0610469,0.124066,0.0053598,0.141173,-0.00561113,10,0.5,0.427682
14,14,1,0,0,0,-0.0304611,0.0352776,0.179763,0.116464,0.0735077,-0.00955751,10,0.5,0.505308
15,15,1,1,0,0,-0.0597838,-0.0986366,-0.17565,0.0897868,0.0180794,0.0247203,10,0.5,0.0236054
16,16,1,0,0,0,-0.121037,0.169365,0.171453,0.0442896,-0.0985847,-0.0174531,10,0.5,0.480999
17,17,1,1,0,0,-0.08627,-0.0298185,0.0540249,0.0398369,-0.0462286,0.0409958,10,0.5,0.392531
18,18,1,0,0,0,-0.151191,-0.0236419,0.0213059,0.0560289,0.0771156,0.0873613,10,0.5,0.413001
19,19,1,1,0,0,-0.0494704,0.00115449,-0.071654,-0.0757814,0.0349155,0.030388,10,0.5,0.188101
20,20,1,0,0,0,-0.022657,0.0872899,-0.141672,0.0453465,-0.258217,-0.0436371,10,0.5,-0.0279634
21,21,1,1,0,0,0.0419184,-0.196379,-0.0463515,0.18978,-0.10373,0.0119665,10,0.5,0.198422
22,22,1,0,0,0,-0.0904504,0.0754563,0.0627503,-0.0136112,-0.394149,-0.0739538,10,0.5,0.233195
23,23,1,1,0,0,-0.0309985,0.0424388,0.0807381,-0.174552,-0.0957347,-0.198843,10,0.5,0.0728424
24,24,1,0,0,0,-0.104535,-0.0956569,0.00523417,0.0346932,0.0790801,-0.203168,10,0.5,-0.0469012
25,25,1,1,0,0,0.0722867,0.0531953,-0.00305863,-0.049584,-0.0940956,-0.0940392,10,0.5,0.104353
26,26,1,0,0,0,-0.0708674,-9.8521e-05,0.0643646,-0.0269403,-0.0634339,-0.0215852,10,0.5,0.314169
27,27,1,1,0,0,-0.0241653,-0.0342173,0.0040247,-0.1029,-0.0104522,-0.0564613,10,0.5,0.171345
28,28,1,0,0,0,0.131288,-0.0829439,0.160775,-0.132379,0.222485,0.0835065,10,0.5,0.616422
29,29,1,1,0,0,0.0993753,-0.0621384,-0.148647,0.0238125,0.0703892,0.0976818,10,0.5,0.173552
30,30,1,0,0,0,0.0563905,-0.100788,0.122192,0.0918836,0.00935752,-0.185606,10,0.5,0.154879
31,31,1,1,0,0,0.0914493,-0.0815379,-0.0424282,-0.0529153,-0.0340899,0.122094,10,0.5,0.369498
32,32,1,0,0,0,-0.0506013,-0.157627,-0.0538557,-0.140085,-0.0634343,0.0462718,10,0.5,0.238624
